,focalLength,weight,gonadalWeight,maturityStage,species,Sex
475,39.0,0.66,9.73,4,1,0
476,38.0,0.73,12.8,1,1,1
477,38.1,0.83,10.97,4,1,0
478,36.0,0.68,11.87,1,1,0
479,37.0,0.731,28.36,4,1,0
480,38.0,0.84,40.61,1,1,1
481,39.5,0.92,46.71,4,1,0
482,44.0,1.255,31.41,1,1,1
483,40.0,0.711,27.65,1,1,1
484,37.5,0.9,0.0,3,1,1
485,39.5,0.8,0.0,3,1,1
486,38.5,0.8,0.0,2,1,1
487,38.5,0.85,0.0,2,1,1
488,35.0,0.6,23.95,3,1,0
489,38.7,0.9,0.0,2,1,1
490,38.0,0.8,23.17,3,1,0
491,37.5,0.7,0.0,2,1,1
492,37.0,0.6,0.0,2,1,1
493,39.0,0.9,0.0,3,1,1
494,38.5,0.8,23.96,3,1,0
495,42.5,1.1,27.79,3,1,0
496,43.5,1.2,0.0,3,1,1
497,37.5,0.7,0.0,2,1,1
498,47.5,1.7,0.0,3,1,1
499,41.0,0.7,20.68,3,1,0
500,38.5,0.8,22.09,3,1,0
501,37.4,0.7,15.87,3,1,0
502,34.0,0.6,0.0,2,1,1
503,39.0,0.8,0.0,3,1,1
504,38.0,0.8,0.0,2,1,1
505,37.9,0.7,0.0,3,1,1
506,39.5,0.8,24.55,3,1,0
507,36.5,0.7,26.79,3,1,0
508,38.0,0.7,0.0,1,1,1
509,39.05,0.8,0.0,2,1,1
510,38.0,0.7,12.69,3,1,0
511,35.1,0.6,9.12,3,1,0
512,38.5,0.9,0.0,2,1,1
513,40.0,0.9,33.0,3,1,0
514,37.0,0.6,0.0,1,1,1
515,36.5,0.7,0.0,1,1,1
516,44.5,1.44,58.36,3,1,0
517,41.5,1.91,81.46,2,1,1
518,43.0,1.15,39.3,1,1,1
519,49.0,1.415,78.9,3,1,0
520,44.0,1.395,47.53,2,1,1
521,46.0,1.725,52.86,3,1,0
522,43.0,1.305,3.9,3,1,0
523,43.5,1.365,41.19,3,1,0
524,45.5,1.465,70.11,3,1,0
525,46.0,2.0,65.66,3,1,1
526,45.0,2.0,98.07,3,1,1
527,48.0,2.0,120.22,3,1,0
528,43.0,1.5,48.22,1,1,1
529,43.0,1.5,69.63836201191265,3,1,0
530,43.0,1.5,69.63836201191265,3,1,0
531,43.5,2.0,75.1,3,1,0
532,43.0,2.0,136.4,2,1,1
533,40.0,1.0,140.2,3,1,1
534,42.0,2.0,196.1,3,1,0
535,41.5,1.2,206.8,3,1,1
536,43.5,2.0,228.5,3,1,0
537,41.0,1.5,168.2,3,1,1
538,41.0,1.0,114.1,1,1,1
539,41.5,1.5,217.1,3,1,0
540,40.5,1.0,161.8,2,1,1
541,39.0,1.0,220.4,3,1,1
542,41.0,1.0,155.2,3,1,0
543,39.0,1.0,101.1,2,1,0
544,46.0,2.0,299.2,3,1,1
545,43.0,1.5,213.6,3,1,0
546,43.0,1.0,154.3,3,1,0
547,40.0,1.0,28.0,1,1,1
548,43.5,2.0,92.0,3,1,1
549,42.0,1.5,214.6,3,1,0
550,39.0,1.0,128.6,2,1,1
551,44.0,2.0,183.4,2,1,1
552,42.0,1.5,146.6,3,1,1
553,41.5,1.5,177.0,3,1,1
554,40.5,1.0,199.0,3,1,0
555,41.5,2.0,147.5,3,1,0
556,405.0,1.0,92.0,3,1,0
557,44.0,2.0,188.0,3,1,1
558,41.5,2.0,101.0,3,1,1
559,40.5,2.0,94.0,3,1,0
560,40.0,2.0,102.0,3,1,0
561,45.0,2.0,102.0,3,1,1
